Category	Book	Level Range / Style	Recipes Taught	Proficiencies
Fabrication	metal casting reference manual	4-7	aluminum ingot (2); brass ingot (2); copper ingot (2); gold ingot (2); large aluminum ingot (2); large brass ingot (2); large copper ingot (2); large gold ingot (2); large lead ingot (2); large silver ingot (2); large tin ingot (2); large zinc ingot (2); lead ingot (2); lead sling bullet (2); silver ingot (2); small aluminum ingot (2); small brass ingot (2); small gold ingot (2); small lead ingot (2); small silver ingot (2); small tin ingot (2); small zinc ingot (2); tin ingot (2); zinc ingot (2)	Principles of Metalworking
Fabrication	Plastics & Polymers: Projects for the Classroom	4-7	2.5 L canteen (3); dry bag (3); elbow pads (2); funnel (2); gallon jug (2); knee pads (2); large dry bag (4); large plastic bottle (2); petpack (1); plastic bottle (2); plastic canteen (3); plastic jack o'lantern (1); plastic rake (2); plastic shin guards (2); plastic snow shovel (2); plastic soap bottle (2); plastic stopcock (3); retractable telescope (3); small plastic bottle (2)	Plastic Working
Fabrication	Rivtech design binder	6-7	5x50mm flechette, reloaded (4); atomic coffeemaker (8); wearable RX12 jet injector (5)	
Fabrication	Studies in Historic Armorsmithing	5-10	armet helm (7); barbute helm (5); boiled leather cow barding with caparison (6); boiled leather horse barding with caparison (6); brigandine gloves (5); brigandine vest (6); bronze cow armor (4); bronze cuirass (4); bronze fragment (3); bronze greaves (4); bronze helmet (4); bronze horse armor (4); bronze vambraces (4); chainmail aventail (6); chainmail chausses (6); chainmail coif (6); chainmail gloves (6); chainmail link (1); chainmail sheet (2); chainmail skirt (6); chainmail sleeves (6); chainmail vest (6); charcoal forge (5); Corinthian helm (5); drift (5); electric forge (5); galea (5); gas forge (5); great helm (6); hotcut (5); iron cow armor (4); iron horse armor (4); kettle helm (4); leather arm guards (4); leather cuirass (4); leather gauntlets (4); leather helmet (6); leather leg guards (4); leather pauldrons (3); lorica segmentata (8); metalworking chisel (5); nasal helm (4); pedal powered grindstone (4); plate arm guards (7); plate aventail (4); plate cuirass (7); plate gauntlets (7); plate leg guards (6); plate pauldrons (7); plate sollerets (7); plate tasset (5); quilted arming pants (3); quilted coif (3); quilted gambeson (3); quilted surcoat (3); sallet helm (7); splint arm guards (5); splint leg guards (5); steel cow armor (7); steel horse armor (7); steel scraper (3); suit of boiled leather armor (6); swage and die set (5); visored plate helm (7); wool aketon (3); wool aketon vest (3); wool arming gloves (3); wool arming pants (3); wool coif (3)	Armorsmithing
Fabrication	The Art of Glassblowing	4-7	0.5 L glass jar (4); 3 L glass jar (5); broken glass (5); crude glass lens (5); disconnected glassblower's crucible (5); glass bottle (5); glass flask (4); glass pipe (6); hand mirror (5); marble (4); separation funnel (5); test tube (4); tinted glass lenses (4)	Glassblowing
Fabrication	The Art of Japanese Armormaking	5-10	charcoal forge (5); drift (5); electric forge (5); gas forge (5); hotcut (5); kabuto (8); metalworking chisel (5); pedal powered grindstone (4); steel scraper (3); swage and die set (5); ō-yoroi (8)	Armorsmithing
Fabrication	The Art of Warfare in Precolumbian Mesoamericas	5-8	bronze tipped atlatl spear (5); glass-bladed macuahuitl (3); leather arm guards (4); leather cuirass (4); leather gauntlets (4); leather leg guards (4); leather pauldrons (3); steel bladed macuahuitl (5); steel tipped atlatl spear (5); tooth-bladed macuahuitl (3)	
Fabrication	The Bowyer's Buddy	3-5	bullet crossbow (1); composite bow (4); compound war bow (9); double-string crossbow (1); hand crossbow (3); heavy crossbow (6); latchet crossbow (1); light crossbow (1); wooden short bow (1); wooden target bow (3); wooden war bow (5)	Bowyery
Fabrication	The Bronze Age Encyclopedia	3-7	bronze axe (4); bronze bush hook (5); bronze chisel (4); bronze cow armor (4); bronze cuirass (4); bronze fragment (2); bronze greaves (4); bronze hammer (4); bronze helmet (4); bronze hoe (4); bronze horse armor (4); bronze ingot (2); bronze knife (3); bronze mace (4); bronze nail puller (4); bronze pickaxe (4); bronze sickle (4); bronze spear (3); bronze vambraces (4); bronze wood saw (4); copper knife (3); copper pike (3); copper spear (3); Corinthian helm (4); dao (4); ji (4); khopesh (4); large bronze ingot (2); small bronze ingot (2); xiphos (4)	Principles of Metalworking; Redsmithing
Fabrication	The Complete Home Repair Guide	5-8	pilot light (5); water faucet (5)	Basic Carpentry; Plumbing
Fabrication	The Fletcher's Friend	2-4	birchbark quiver (2); bone glue (1); crude wooden arrow (1); crude wooden bolt (1); flammable arrow (5); horn-tipped arrow (1); large birchbark quiver (3); large pipe quiver (2); large quiver (2); monster tooth arrow (1); monster tooth bolt (3); multi-function quiver (3); nylon quiver (1); pipe quiver (1); quiver (1); stone-tipped arrow (1); wooden arrow (1); wooden bodkin arrow (3); wooden bodkin bolt (3); wooden broadhead arrow (3); wooden broadhead bolt (3)	Fletching
Fabrication	The Handloader's Helper	3-6	.22 FMJ, matchhead powder (1); .22 FMJ, reloaded (1); .22 LR FMJ, black powder (1); .22 LR, black powder (1); .22 LR, matchhead powder (1); .22 LR, reloaded (1); .223 Remington, black powder (1); .223 Remington, reloaded (1); .270 Winchester casing (3); .270 Winchester FMJ, black powder (1); .270 Winchester FMJ, reloaded (1); .270 Winchester JSP, black powder (1); .270 Winchester JSP, reloaded (1); .30 Carbine JSP, black powder (3); .30 Carbine JSP, matchhead powder (3); .30 Carbine JSP, reloaded (3); .30 Carbine, black powder (3); .30 Carbine, matchhead powder (3); .30 Carbine, reloaded (3); .30-06 5-round clip (2); .30-06 FMJ, black powder (3); .30-06 FMJ, reloaded (3); .30-06 JSP, black powder (3); .30-06 JSP, reloaded (3); .30-06 M2 AP, black powder (3); .30-06 M2 AP, reloaded (3); .30-06 tracer, black powder (2); .30-06 tracer, reloaded (2); .300 AAC Blackout subsonic, black powder (3); .300 AAC Blackout subsonic, reloaded (3); .300 AAC Blackout, black powder (3); .300 AAC Blackout, reloaded (3); .300 Winchester Magnum, black powder (4); .300 Winchester Magnum, reloaded (4); .300BLK casing (3); .303 British FMJ, black powder (3); .303 British FMJ, reloaded (3); .303 British JSP, black powder (3); .303 British JSP, reloaded (3); .303 British OTM, black powder (3); .303 British OTM, reloaded (3); .308 Winchester, black powder (2); .308 Winchester, reloaded (2); .32 ACP JHP, black powder (5); .32 ACP JHP, matchhead powder (5); .32 ACP JHP, reloaded (5); .32 ACP, black powder (5); .32 ACP, matchhead powder (5); .32 ACP, reloaded (5); .338 Lapua AP485, black powder (6); .338 Lapua AP485, reloaded (6); .338 Lapua API526, black powder (6); .338 Lapua API526, reloaded (6); .338 Lapua HPBT, black powder (6); .338 Lapua HPBT, reloaded (6); .357 Magnum FMJ, black powder (4); .357 Magnum FMJ, matchhead powder (4); .357 Magnum FMJ, reloaded (4); .357 Magnum JHP, black powder (4); .357 Magnum JHP, matchhead powder (4); .357 Magnum JHP, reloaded (4); .357 SIG casing (3); .357 SIG FMJ, black powder (2); .357 SIG FMJ, matchhead powder (2); .357 SIG FMJ, reloaded (2); .357 SIG JHP, black powder (2); .357 SIG JHP, matchhead powder (2); .357 SIG JHP, reloaded (2); .36 paper cartridge (3); .38 Special +P, reloaded (2); .38 Special casing (3); .38 Special FMJ, black powder (3); .38 Special FMJ, matchhead powder (3); .38 Special FMJ, reloaded (3); .38 Special JHP, black powder (2); .38 Special JHP, matchhead powder (2); .38 Special JHP, reloaded (2); .38 Super FMJ, black powder (4); .38 Super FMJ, matchhead powder (2); .38 Super FMJ, reloaded (2); .38 Super JHP, black powder (4); .38 Super JHP, matchhead powder (4); .38 Super JHP, reloaded (4); .380 ACP +P, reloaded (4); .380 ACP casing (3); .380 ACP FMJ, black powder (3); .380 ACP FMJ, matchhead powder (3); .380 ACP FMJ, reloaded (3); .380 ACP JHP, black powder (2); .380 ACP JHP, matchhead powder (2); .380 ACP JHP, reloaded (2); .40 S&W casing (3); .40 S&W FMJ, black powder (4); .40 S&W FMJ, matchhead powder (4); .40 S&W FMJ, reloaded (4); .40 S&W JHP, black powder (3); .40 S&W JHP, matchhead powder (3); .40 S&W JHP, reloaded (3); .410 000 shot, black powder (2); .410 000 shot, reloaded (2); .410 birdshot, black powder (2); .410 birdshot, reloaded (2); .410 slug, black powder (2); .410 slug, reloaded (2); .44 Magnum FMJ, black powder (3); .44 Magnum FMJ, reloaded (3); .44 Magnum, black powder (3); .44 Magnum, reloaded (3); .44 paper cartridge (3); .45 ACP casing (3); .45 ACP FMJ, black powder (4); .45 ACP JHP, black powder (3); .45 ACP JHP, matchhead powder (3); .45 ACP JHP, reloaded (3); .45 Colt +P FMJ, reloaded (3); .45 Colt +P JHP, reloaded (3); .45 Colt casing (3); .45 Colt FMJ, black powder (3); .45 Colt FMJ, matchhead powder (3); .45 Colt JHP, black powder (3); .45 Colt JHP, matchhead powder (3); .45 Colt LFN, black powder (3); .45 Colt LFN, matchhead powder (3); .45 Colt LFN, reloaded (3); .45 FMJ, matchhead powder (4); .45 FMJ, reloaded (4); .45-70 +P penetrator, reloaded (2); .45-70 LFN, black powder (2); .45-70 LFN, reloaded (2); .45-70 SP, reloaded (2); .450 Bushmaster FTX, black powder (2); .450 Bushmaster FTX, reloaded (2); .450 Bushmaster Xtreme Hunter, black powder (2); .450 Xtreme Hunter, reloaded (2); .454 Casull, black powder (6); .454 Casull, reloaded (6); .458 WM, black powder (7); .458 WM, reloaded (7); .460 Rowland casing (3); .460 Rowland FMJ, black powder (3); .460 Rowland FMJ, reloaded (3); .460 Rowland, black powder (3); .460 Rowland, reloaded (3); .50 AE casing (3); .50 AE FMJ, black powder (7); .50 AE FMJ, matchhead powder (7); .50 AE FMJ, reloaded (7); .50 AE JHP, black powder (7); .50 AE JHP, matchhead powder (7); .50 AE JHP, reloaded (7); .50 Beowulf XTP, black powder (2); .50 Beowulf XTP, reloaded (2); .50 Beowulf Xtreme Penetrator, black powder (2); .50 Beowulf Xtreme Penetrator, reloaded (2); .50 BMG AP, black powder (7); .50 BMG AP, reloaded (7); .50 BMG Match, black powder (6); .50 BMG Match, reloaded (6); .50 BMG tracer, black powder (8); .50 BMG tracer, reloaded (8); .500 S&W Magnum, black powder (7); .500 S&W Magnum, reloaded (7); .62 paper cartridge (2); 00 shot, black powder (2); 00 shot, reloaded (2); 10mm Auto +P, reloaded (4); 10mm Auto FMJ, black powder (4); 10mm Auto FMJ, matchhead powder (4); 10mm Auto FMJ, reloaded (4); 10mm Auto JHP, black powder (4); 10mm Auto JHP, matchhead powder (4); 10mm Auto JHP, reloaded (4); 4.6x30mm, black powder (3); 4.6x30mm, reloaded (3); 40x46mm M118 buckshot, black powder (3); 40x46mm M118 buckshot, reloaded (3); 40x46mm M118 flechette, black powder (3); 40x46mm M118 flechette, reloaded (3); 40x46mm M118 slug, black powder (3); 40x46mm M118 slug, reloaded (3); 40x46mm M199 buckshot, black powder (3); 40x46mm M199 buckshot, reloaded (3); 40x46mm M199 flechette, black powder (3); 40x46mm M199 flechette, reloaded (3); 40x46mm M199 slug, black powder (3); 40x46mm M199 slug, reloaded (3); 40x53mm buckshot, black powder (3); 40x53mm buckshot, reloaded (3); 40x53mm flechette, black powder (3); 40x53mm flechette, reloaded (3); 40x53mm slug, black powder (3); 40x53mm slug, reloaded (3); 5.45x39mm AP, black powder (2); 5.45x39mm AP, reloaded (2); 5.45x39mm, black powder (2); 5.45x39mm, reloaded (2); 5.56 NATO tracer, black powder (5); 5.56 NATO tracer, reloaded (5); 5.56 NATO, black powder (3); 5.56 NATO, reloaded (3); 5.7x28mm, black powder (3); 5.7x28mm, reloaded (3); 7.62x25mm FMJ, black powder (3); 7.62x25mm FMJ, matchhead powder (3); 7.62x25mm FMJ, reloaded (3); 7.62x39mm 10-round clip (2); 7.62x39mm FMJ, black powder (2); 7.62x39mm FMJ, reloaded (2); 7.62x39mm JHP, black powder (2); 7.62x39mm JHP, reloaded (2); 7.62x51mm tracer, black powder (5); 7.62x51mm tracer, reloaded (5); 7.62x51mm, black powder (2); 7.62x51mm, reloaded (2); 7.62x54mmR 5-round clip (2); 7.62x54mmR, black powder (3); 7.62x54mmR, reloaded (3); 7.7x58mm Japanese JSP, black powder (3); 7.7x58mm Japanese JSP, reloaded (3); 9x18mm +P+, reloaded (3); 9x18mm FMJ, black powder (3); 9x18mm FMJ, matchhead powder (3); 9x18mm FMJ, reloaded (3); 9x18mm, black powder (1); 9x18mm, matchhead powder (1); 9x18mm, reloaded (1); 9x19mm +P, reloaded (4); 9x19mm 10-round clip (2); 9x19mm FMJ, black powder (3); 9x19mm FMJ, matchhead powder (3); 9x19mm FMJ, reloaded (3); 9x19mm JHP, black powder (2); 9x19mm JHP, matchhead powder (2); 9x19mm JHP, reloaded (2); birdshot paper cartridge (2); birdshot, black powder (1); birdshot, reloaded (1); blunderbuss flechettes (2); blunderbuss scrap shot (2); blunderbuss shot (2); blunderbuss slug (2); buckshot paper cartridge (2); dragon's breath shell, black powder (3); dragon's breath shell, reloaded (3); flechette shell, black powder (4); flechette shell, reloaded (4); hand press (2); incendiary (3); kinetic bullet puller (6); large pistol primer (2); large rifle primer (2); M1 Garand 8-round clip (2); mixed smokeless gunpowder (1); pipe cleaner (0); pyrotechnic paper cartridge (2); retooled STANAG 20-round magazine (2); retooled STANAG 20-round magazine with ranger plate (2); retooled STANAG 30-round magazine (2); retooled STANAG 30-round magazine with ranger plate (2); shotgun primer (2); shotgun slug, black powder (3); shotgun slug, reloaded (3); signal flare (3); small game rifle 19-round tube loader (2); small pistol primer (2); small rifle primer (2)	Handloading
Fabrication	The Historic Weaponsmith	5-10	arming sword (6); bagh nakh (9); baselard (4); battle axe (8); broadsword (6); bronze fragment (4); bullet crossbow (6); cavalry saber (6); charcoal forge (5); cutlass (6); double-string crossbow (6); drift (5); electric forge (5); estoc (6); falx (5); gas forge (5); glaive (6); goedendag (3); halberd (6); hand crossbow (6); heavy crossbow (6); horseman's flail (5); hotcut (5); ironshod quarterstaff (2); khopesh (5); kriegsmesser (4); kris (6); latchet crossbow (6); light crossbow (6); longsword (6); lucerne hammer (6); mace (3); metalworking chisel (5); morningstar (5); peasant flail (3); pedal powered grindstone (4); pike (6); poleaxe (6); rapier (7); soaking long pole (2); soaking spear shaft (2); steel javelin (4); steel scraper (3); steel spear (3); survival knife (5); swage and die set (5); sword cane (8); urumi (6); war flail (6); war hammer (8); xiphos (4); zweihänder (7)	Bladesmithing
Fabrication	The Prop Builder's Molding and Casting Handbook	2-4	makeshift vacuum mold (3)	Basic Carpentry; Plastic Working
Fabrication	The Streetfighter's Sidekick	5-6	bagh nakh (4); battle axe (7); brass knuckles (2); bronze cow armor (4); bronze cuirass (4); bronze greaves (4); bronze helmet (4); bronze horse armor (4); bronze vambraces (4); cestus (1); chainmail chausses (6); chainmail coif (6); chainmail gloves (6); chainmail link (1); chainmail sheet (2); chainmail skirt (6); chainmail sleeves (6); chainmail vest (6); chainsaw (off) (5); crude paper breastplate (2); dive knife (6); electric chainsaw (off) (5); electrified foil (4); electrified saber (4); electrified épée (4); fingerless leather gloves (2); hunting knife (4); ironshod quarterstaff (3); mace (4); National Guard bayonet (5); paper ballistic plate (2); paper ballistic side plate (2); pocket knife (5); powered quarterstaff (4); punch dagger (2); razorbar katar (3); scrap ballistic plate (2); scrap ballistic side plate (2); steel ballistic plate (7); steel ballistic side plate (6); steel knuckles (2); switchblade (5); sword bayonet (5); tactical tonfa (off) (5); tanto (8); trench knife (5); war hammer (6)	
Fabrication	The Swords of the Samurai	5-10	bokken (2); butterfly sword (6); cestus (7); charcoal forge (5); drift (5); electric forge (5); gas forge (5); hotcut (5); jitte (5); kanabō (2); karambit (5); katana (7); kirpan (5); kukri (8); metalworking chisel (5); naginata (6); nodachi (7); pedal powered grindstone (4); razorbar katar (8); sai (5); soaking long pole (2); soaking spear shaft (2); steel scraper (3); steel spear (3); swage and die set (5); tanto (6); wakizashi (6)	Bladesmithing
Fabrication	Tools of Warfare in the Arabic World	5-10	bronze chisel (5); chainmail aventail (6); charcoal forge (5); drift (5); electric forge (5); gas forge (5); hotcut (5); kilij (7); metalworking chisel (5); mirror armor (4); pedal powered grindstone (5); scimitar (6); steel scraper (3); swage and die set (5); talwar (6); turban helmet (4)	Redsmithing
Fabrication	Welding and Metallurgy	4-7	bike rack (6); compound war bow (8); copper pot (4); hand pump (5); hard plating (5); makeshift arc welder (1); makeshift steam engine (6); makeshift welding blanket (1); reinforced headlight (5); reinforced security camera (5); reinforced wide-angle headlight (5); small welding tank (2); spiked plating (3); sword bayonet (7); tin powder (4); tinted glass lenses (5); vehicle forge rig (5); vehicle kiln (5); welding goggles (3); welding tank (2)	Skilled Welding
Fabrication	WX010 Living Armor Observations	1+	iridescent carapace plate (1); iridescent carapace side plate (1)	
Handguns	Tactical Handgun Digest	0-1	9x19mm 10-round clip (3); bottom mount (4); flintlock pistol (6); iron sights (3); launcher sights mount (4); offset iron sights (4); pipe cleaner (0); pistol sights mount (4); replaceable furniture kit (4); replaceable stock kit (4); side mount (4); sights mount (4); speedloader chute, 4-round breaching shotgun (4); speedloader chute, 5-round hunting shotgun (4); speedloader chute, 6-round combat shotgun (4); speedloader chute, 8-round auto-loading shotgun (4); speedloader chute, 9-round combat shotgun (4); speedloader chute, Benelli Super (4)	
Handguns	The Tao of the Handgun	0-3	.22 FMJ, matchhead powder (2); .22 FMJ, reloaded (2); .22 LR FMJ, black powder (2); .22 LR, black powder (2); .22 LR, matchhead powder (2); .22 LR, reloaded (2); .357 Magnum FMJ, black powder (3); .357 Magnum FMJ, matchhead powder (3); .357 Magnum FMJ, reloaded (3); .357 Magnum JHP, black powder (3); .357 Magnum JHP, matchhead powder (3); .357 Magnum JHP, reloaded (3); .357 SIG casing (5); .357 SIG FMJ, black powder (3); .357 SIG FMJ, matchhead powder (3); .357 SIG FMJ, reloaded (3); .357 SIG JHP, black powder (3); .357 SIG JHP, matchhead powder (3); .357 SIG JHP, reloaded (3); .36 paper cartridge (3); .38 Special +P, reloaded (1); .38 Special casing (5); .38 Special FMJ, black powder (2); .38 Special FMJ, matchhead powder (2); .38 Special FMJ, reloaded (2); .38 Special JHP, black powder (1); .38 Special JHP, matchhead powder (1); .38 Special JHP, reloaded (1); .38 Super FMJ, black powder (3); .38 Super FMJ, matchhead powder (1); .38 Super FMJ, reloaded (1); .38 Super JHP, black powder (3); .38 Super JHP, matchhead powder (3); .38 Super JHP, reloaded (3); .380 ACP +P, reloaded (3); .380 ACP casing (5); .380 ACP FMJ, black powder (2); .380 ACP FMJ, matchhead powder (2); .380 ACP FMJ, reloaded (2); .380 ACP JHP, black powder (1); .380 ACP JHP, matchhead powder (1); .380 ACP JHP, reloaded (1); .40 S&W casing (5); .40 S&W FMJ, black powder (3); .40 S&W FMJ, matchhead powder (3); .40 S&W FMJ, reloaded (3); .40 S&W JHP, black powder (2); .40 S&W JHP, matchhead powder (2); .40 S&W JHP, reloaded (2); .44 Magnum FMJ, black powder (4); .44 Magnum FMJ, reloaded (4); .44 Magnum, black powder (4); .44 Magnum, reloaded (4); .44 paper cartridge (3); .45 ACP +P, reloaded (4); .45 ACP casing (5); .45 ACP FMJ, black powder (3); .45 ACP JHP, black powder (2); .45 ACP JHP, matchhead powder (2); .45 ACP JHP, reloaded (2); .45 Colt +P FMJ, reloaded (4); .45 Colt +P JHP, reloaded (4); .45 Colt casing (5); .45 Colt FMJ, black powder (4); .45 Colt FMJ, matchhead powder (4); .45 Colt JHP, black powder (4); .45 Colt JHP, matchhead powder (4); .45 Colt LFN, black powder (4); .45 Colt LFN, matchhead powder (4); .45 Colt LFN, reloaded (4); .45 FMJ, matchhead powder (3); .45 FMJ, reloaded (3); .454 Casull, black powder (7); .454 Casull, reloaded (7); .460 Rowland casing (5); .460 Rowland FMJ, black powder (4); .460 Rowland FMJ, reloaded (4); .460 Rowland, black powder (4); .460 Rowland, reloaded (4); .50 AE casing (5); .50 AE FMJ, black powder (8); .50 AE FMJ, matchhead powder (8); .50 AE FMJ, reloaded (8); .50 AE JHP, black powder (8); .50 AE JHP, matchhead powder (8); .50 AE JHP, reloaded (8); .500 S&W Magnum, black powder (8); .500 S&W Magnum, reloaded (8); 10mm Auto +P, reloaded (3); 10mm Auto FMJ, black powder (3); 10mm Auto FMJ, matchhead powder (3); 10mm Auto FMJ, reloaded (3); 10mm Auto JHP, black powder (3); 10mm Auto JHP, matchhead powder (3); 10mm Auto JHP, reloaded (3); 5.7x28mm, black powder (2); 7.62x25mm FMJ, black powder (3); 7.62x25mm FMJ, matchhead powder (3); 7.62x25mm FMJ, reloaded (3); 9x18mm +P+, reloaded (4); 9x18mm FMJ, black powder (4); 9x18mm FMJ, matchhead powder (4); 9x18mm FMJ, reloaded (4); 9x18mm, black powder (2); 9x18mm, matchhead powder (2); 9x18mm, reloaded (2); 9x19mm +P+, reloaded (4); 9x19mm +P, reloaded (3); 9x19mm FMJ, black powder (2); 9x19mm FMJ, matchhead powder (2); 9x19mm FMJ, reloaded (2); 9x19mm JHP, black powder (1); 9x19mm JHP, matchhead powder (1); 9x19mm JHP, reloaded (1); bottom mount (4); compensator (4); ergonomic grip (4); flintlock pistol (5); forward grip (3); Glock auto sear plate (5); hand press (3); handmade revolver (3); homemade pistol (5); iron sights (3); large pistol primer (3); launcher sights mount (4); offset iron sights (4); pipe cleaner (0); pistol sights mount (4); pistol stock (3); pistol stock (4); pistol suppressor (4); replaceable furniture kit (4); replaceable stock kit (4); revolving shotgun (2); side mount (4); sights mount (4); small pistol primer (3); telescopic pistol sight (2); wood forward grip (3)	
Launchers	High Explosives Quarterly	0-1	40mm pipe launcher (4)	
Launchers	Jane's Mortars and Rocket Launchers	0-3	40mm pipe launcher (3); adjustable stock (4); barrel bomb (7); bipod (3); flamethrower fuel (2); forward grip (4); HE barrel bomb (7); HE keg bomb (7); HE pipe bomb (4); homemade demolition charge (4); improvised bomb (4); improvised HE bomb (4); improvised HE grenade (4); keg bomb (7); recoil stock (4); small improvised HE grenade (4); wood forward grip (4)	
Marksmanship	Ballistics: Theory, Design, and Application	0-2		Principles of Gunsmithing
Marksmanship	Guns n Ammo	0-1	bottom mount (4); iron sights (3); launcher sights mount (4); offset iron sights (4); pistol sights mount (4); replaceable furniture kit (4); replaceable stock kit (4); side mount (4); sights mount (4); speedloader chute, 4-round breaching shotgun (4); speedloader chute, 5-round hunting shotgun (4); speedloader chute, 6-round combat shotgun (4); speedloader chute, 8-round auto-loading shotgun (4); speedloader chute, 9-round combat shotgun (4); speedloader chute, Benelli Super (4)	
Marksmanship	Pocket Guide to Firearm Safety	0-2	mixed smokeless gunpowder (3)	
Marksmanship	The Gun Owner's Handbook	0-3	bottom mount (4); bow scope (3); flashlight pouch (1); gadget pouch (1); gas mask pouch (2); H2O pouch (2); iron sights (3); launcher sights mount (4); mixed smokeless gunpowder (2); offset iron sights (4); pistol sights mount (4); replaceable furniture kit (4); replaceable stock kit (4); side mount (4); sights mount (4); single pin bow sight (3); tactical grenade pouch (1); tactical holster (1); tactical radio pouch (1); tactical shotshell pouch (1); tactical tool pouch (1); triple stacker ammo pouch (2)	
Mechanics	army improvised field repairs manual	0-1	makeshift air filter (2); makeshift automotive filter (2); makeshift drive belt (1)	
Mechanics	Hot Rod Chassis & Suspension Handbook	7-8		
Mechanics	Internal Combustion Fundamentals	4-8		
Mechanics	lab journal-Curie	6-10		
Mechanics	makerspace kit instructions	0-0		
Mechanics	Mechanical Mastery	3-6	adjustable stock (3); block and tackle (3); chainsaw (off) (4); compensator (3); compound war bow (8); condensor coil (5); drive by wire controls (8); electric chainsaw (off) (4); ergonomic grip (3); evaporator coil (5); folding table (3); makeshift arc welder (2); metal butchering rack (3); metal smoking rack (3); minifreezer (5); pipe cleaner (0); plow (4); portable dishwasher (5); reaper (4); recharging station (7); reinforced headlight (3); reinforced security camera (3); reinforced wide-angle headlight (3); seed drill (4); spiked plating (4); steel boom (5); telescopic cantilever (2); vehicle controls (3); vehicle cooler (5); vehicle forge rig (6); vehicle kiln (6); vehicle scoop (4); washing machine (5); wooden block and tackle (1)	
Mechanics	Pneumatic Pnowledge	4-8	novelty pneumatic launcher (5)	Pneumatics
Mechanics	Popular Mechanics	0-1	hand-crank charger (3); pipe cleaner (0)	
Mechanics	robotics kit instructions	0-0		
Mechanics	standpipe maintenance log	1+	pipe cleaner (0)	
Mechanics	Stirling engine kit instructions	0-0		
Mechanics	Under the Hood	0-3	bear trap (2); bicycle alternator (2); bolt cutters (4); car battery (3); hacksaw (3); hand pump (4); large storage battery (3); makeshift arc welder (3); makeshift jack (1); makeshift vacuum mold (5); medium storage battery (3); minifreezer (5); motorbike alternator (2); motorbike battery (3); nut and bolt (3); pedal powered grindstone (3); scissor jack (2); small electric motor (2); telescopic cantilever (2); thread cutting set (3); tiny electric motor (2); vehicle controls (3); vehicle cooler (5); very large storage battery (3)	
Medicine	First Aid Kit Instruction Booklet	0-1		
Medicine	First Responder Handbook	3-6	anesthetic (6); Dakin's solution (2); hemostatic powder (3); rehydration drink (1); saline solution (2)	
Medicine	Guide to Advanced Emergency Care	5-8	bismuth subsalicylate (6); cattail jelly (1); Dakin's solution (2); filter mask (3); gas mask (3); hemostatic powder (4); rebreather oxygen regenerator cartridge (3); rebreather oxygen regenerator filler (3); rebreather scrubber cartridge, air tank (3); rebreather scrubber cartridge, oxygen tank (3); rebreather scrubbing filler (3); saline solution (3)	Field Medic
Medicine	Paramedics	0-1		
Medicine	Physicians' Desk Reference	0+		
Medicine	Pocket Guide to First Aid	0-2	makeshift stethoscope (1); saline solution (2)	
Medicine	Textbook of Advanced Toxicology	5-6	anesthetic (6); concentrated paralytic (5); concentrated venom (5); epinephrine autoinjector (7)	
Medicine	The Big Book of First Aid	0-3	makeshift stethoscope (1); rehydration drink (1); saline solution (2)	
Melee	Close Quarter Fighting Manual	0-3		
Melee	CQB Monthly	0-1		
Rifles	FM 23-16 Army marksmanship manual	0-3	.270 Winchester casing (5); .300BLK casing (5); adjustable stock (4); bipod (3); bottom mount (4); compensator (4); drop-in auto sear (5); ergonomic grip (4); flintlock carbine (5); flintlock musket (5); flintlock rifle (5); folding stock (4); forward grip (4); hand press (2); handmade double-barrel flintlock (2); handmade double-barrel flintlock (3); iron sights (3); launcher sights mount (4); lightning link (6); M240 select fire trigger (6); M249 select fire trigger (6); muzzle brake (5); offset iron sights (4); pipe cleaner (0); pistol sights mount (4); recoil stock (4); replaceable furniture kit (4); replaceable stock kit (4); side mount (4); sights mount (4); telescopic sight (2); wood forward grip (4)	
